Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
Drug	1861_DN	Triamterene [396-01-0]; Down 200; 15.8uM; HL60; HT_HG-U133A	Broad Institute CMAP Down	6.021E-4	1.000E0	3.784E-2	3.607E-1	4	196	KIF20A,ASPM,KIF14,TOP2A
Drug	5092_UP	Rimexolone [49697-38-3]; Up 200; 10.8uM; PC3; HT_HG-U133A	Broad Institute CMAP Up	6.137E-4	1.000E0	3.784E-2	3.607E-1	4	197	THY1,PRELP,RGCC,ITGB7
Drug	5098_UP	Sulfadiazine [68-35-9]; Up 200; 16uM; PC3; HT_HG-U133A	Broad Institute CMAP Up	6.137E-4	1.000E0	3.784E-2	3.607E-1	4	197	PRELP,RGCC,APOE,ITGB7
Drug	3801_UP	Orphenadrine hydrochloride [341-69-5]; Up 200; 13uM; PC3; HT_HG-U133A	Broad Institute CMAP Up	6.137E-4	1.000E0	3.784E-2	3.607E-1	4	197	GPLD1,THY1,CD86,ITGB7
Drug	ctd:D018038	Sodium Selenite	CTD	6.252E-4	1.000E0	3.784E-2	3.607E-1	10	1518	SELENOP,RPL35A,SLC25A5,ASPM,CD53,KIF14,ATP5PD,TOP2A,CCNA2,SPDL1
Drug	3809_UP	Ethotoin [86-35-1]; Up 200; 19.6uM; PC3; HT_HG-U133A	Broad Institute CMAP Up	6.255E-4	1.000E0	3.784E-2	3.607E-1	4	198	GPLD1,RGCC,CD53,ITGB7
Drug	CID000033557	sodium azide	Stitch	6.363E-4	1.000E0	3.784E-2	3.607E-1	3	85	LSM5,ITGB7,CCNA2
Drug	3966_UP	0317956-0000 [391210-11-0]; Up 200; 10uM; MCF7; HT_HG-U133A	Broad Institute CMAP Up	6.374E-4	1.000E0	3.784E-2	3.607E-1	4	199	GPLD1,THY1,CD86,APOE
Drug	3822_UP	CP-320650-01 [172079-28-6]; Up 200; 10uM; PC3; HT_HG-U133A	Broad Institute CMAP Up	6.374E-4	1.000E0	3.784E-2	3.607E-1	4	199	GPLD1,THY1,CD86,CD53
Drug	ctd:C099150	trabectedin	CTD	6.393E-4	1.000E0	3.784E-2	3.607E-1	2	19	CCNB2,CCNA2
Drug	CID000003653	AC1L1GEZ	Stitch	6.495E-4	1.000E0	3.815E-2	3.637E-1	4	200	GPLD1,THY1,CD86,CTSC
Drug	ctd:C030973	cupric oxide	CTD	6.618E-4	1.000E0	3.858E-2	3.678E-1	6	543	KIF20A,CCNB2,TPX2,PPIA,TOP2A,CCNA2
Drug	ctd:C049584	2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine	CTD	6.746E-4	1.000E0	3.903E-2	3.721E-1	6	545	SELENOP,RPL35A,ERH,SLC25A5,TOP2A,CCNA2
Drug	ctd:D013196	Dihydrotestosterone	CTD	6.987E-4	1.000E0	4.012E-2	3.825E-1	5	360	SELENOP,THY1,CCNB2,APOE,CCNA2
Drug	CID000369401	paullone	Stitch	7.095E-4	1.000E0	4.028E-2	3.840E-1	2	20	CCNB2,CCNA2
Drug	ctd:C086401	pentabromodiphenyl ether	CTD	7.118E-4	1.000E0	4.028E-2	3.840E-1	9	1266	TUBB4B,CD86,CTSC,RGCC,ASPM,APOE,PPIA,ATP5PD,AK3
Drug	CID000216304	ALT-711	Stitch	7.832E-4	1.000E0	4.400E-2	4.195E-1	2	21	LAMA3,APOE
Drug	CID004489307	AC1NB8R3	Stitch	8.216E-4	1.000E0	4.583E-2	4.369E-1	4	213	THY1,ASPM,CD53,CD63
Drug	CID000009999	cyanogen	Stitch	8.604E-4	1.000E0	4.698E-2	4.478E-1	2	22	ESCO2,CTSC
Drug	ctd:C539263	di-2-pyridylketone-4,4-dimethyl-3-thiosemicarbazone	CTD	8.604E-4	1.000E0	4.698E-2	4.478E-1	2	22	TOP2A,CCNA2
Drug	CID000107701	17 alpha-hydroxy-20 beta-dihydroprogesterone	Stitch	8.604E-4	1.000E0	4.698E-2	4.478E-1	2	22	CCNB2,KIF22
Drug	CID000003733	AC1MU1S9	Stitch	8.677E-4	1.000E0	4.704E-2	4.485E-1	6	572	GPLD1,THY1,TCN2,CD86,CD53,SLA2
Drug	ctd:D007529	Isoflavones	CTD	8.957E-4	1.000E0	4.822E-2	4.597E-1	4	218	TUBB4B,CCNB2,TOP2A,KIF2C
Disease	C2239176	Liver carcinoma	DisGeNET Curated	7.503E-12	9.341E-9	9.341E-9	7.197E-8	12	507	KIF20A,THY1,KIF15,CCNB2,TPX2,ASPM,KIF14,WDR76,ATP5PD,TOP2A,PLAC8,KIF2C
Disease	DOID:0070296 (is_implicated_in)	primary autosomal recessive microcephaly (is_implicated_in)	AllianceGenome	1.712E-6	2.131E-3	1.066E-3	8.211E-3	3	16	NCAPD3,ASPM,KIF14
Disease	C3711387	Autosomal Recessive Primary Microcephaly	DisGeNET Curated	4.678E-6	5.825E-3	1.942E-3	1.496E-2	3	22	NCAPD3,ASPM,KIF14
Disease	DOID:2917 (is_marker_for)	cryoglobulinemia (is_marker_for)	AllianceGenome	1.303E-5	1.622E-2	4.055E-3	3.124E-2	2	4	TCN2,CD86
Disease	C0023893	Liver Cirrhosis, Experimental	DisGeNET Curated	1.668E-5	2.077E-2	4.153E-3	3.200E-2	8	774	SELENOP,CCNB2,CD86,SHCBP1,CD53,CD63,PLAC8,CCNA2
Disease	EFO_0021989	RAC-beta serine/threonine-protein kinase measurement	GWAS	1.679E-4	2.091E-1	1.281E-2	9.870E-2	2	13	GPLD1,APOE
Disease	C2930967	Gastro-enteropancreatic neuroendocrine tumor	DisGeNET Curated	2.256E-4	2.809E-1	1.281E-2	9.870E-2	2	15	CD86,CD53
Disease	EFO_0008007, EFO_0021504	total brain volume change measurement, age at assessment	GWAS	6.386E-4	7.951E-1	1.281E-2	9.870E-2	2	25	CTSC,APOE
Disease	DOID:9952 (is_marker_for)	acute lymphoblastic leukemia (is_marker_for)	AllianceGenome	1.184E-3	1.000E0	1.281E-2	9.870E-2	2	34	TCN2,CD86
Disease	C1136382	Sclerocystic Ovaries	DisGeNET Curated	1.304E-3	1.000E0	1.281E-2	9.870E-2	3	144	ASPM,LSM5,TOP2A
Disease	C0032460	Polycystic Ovary Syndrome	DisGeNET Curated	1.304E-3	1.000E0	1.281E-2	9.870E-2	3	144	ASPM,LSM5,TOP2A
Disease	C0205648	Adenoma, Microcystic	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	C0205649	Adenoma, Monomorphic	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	C0205646	Adenoma, Basal Cell	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	C0205647	Follicular adenoma	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	C0205650	Papillary adenoma	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	C0205651	Adenoma, Trabecular	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	C0001430	Adenoma	DisGeNET Curated	1.327E-3	1.000E0	1.281E-2	9.870E-2	2	36	SELENOP,TCN2
Disease	OBA_2044601	level of methyltransferase BCDIN3D in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	216100	JUBERG-HAYWARD SYNDROME	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	C0393664	Multiple Sclerosis, Acute Relapsing	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C1863732	Spondyloepimetaphyseal dysplasia with multiple dislocations	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF22
Disease	DOID:0111883 (is_implicated_in)	Diamond-Blackfan anemia 5 (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	RPL35A
Disease	170650	PERIODONTITIS, AGGRESSIVE, 1	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	603546	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 2	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF22
Disease	EFO_0020158	apolipoprotein E (isoform E4) measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C1855627	Haim-Munk syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	OBA_2041141	level of cysteine-rich protein 1 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	617984	MICROCEPHALY 22, PRIMARY, AUTOSOMAL RECESSIVE	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	NCAPD3
Disease	C0400823	Neutropenic colitis	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	cv:C4693498	Leber congenital amaurosis with early-onset deafness	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TUBB4B
Disease	C2675859	Diamond-Blackfan Anemia 5	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	RPL35A
Disease	DOID:5325 (is_implicated_in)	Roberts syndrome (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	OBA_2043789	level of tubulin-specific chaperone A in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C1863051	Alzheimer disease 2	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C0020479	Familial type 3 hyperlipoproteinemia	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2042027	level of inhibitor of growth protein 4 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:0050639 (is_marker_for)	primary cutaneous amyloidosis (is_marker_for)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:0110035 (is_implicated_in)	Alzheimer's disease 2 (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	619981	BRADDOCK-CAREY SYNDROME 2	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF15
Disease	DOID:3209 (implicated_via_orthology)	junctional epidermolysis bullosa (implicated_via_orthology)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	cv:C0796099	Juberg-Hayward syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	C4551681	Periodontitis, Aggressive, 1	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	cv:C2675859	Diamond-Blackfan anemia 5	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	RPL35A
Disease	OBA_2044666	level of coiled-coil domain-containing protein 24 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2043331	level of 40S ribosomal protein S14 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C4015701	MECKEL SYNDROME 12	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	C4693834	MICROCEPHALY 22, PRIMARY, AUTOSOMAL RECESSIVE	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	NCAPD3
Disease	DOID:4423 (is_implicated_in)	sea-blue histiocytosis (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2044433	level of coiled-coil-helix-coiled-coil-helix domain-containing protein 7 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C0342701	Transcobalamin II deficiency	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	DOID:12506 (is_marker_for)	Bell's palsy (is_marker_for)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	PPIA
Disease	619783	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 2A, INTERMEDIATE	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	619784	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 2B, SEVERE	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	104310	ALZHEIMER DISEASE 2	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	618460	KHAN-KHAN-KATSANIS SYNDROME	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	NCAPG2
Disease	C0036489	Sea-Blue Histiocyte Syndrome	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2042083	level of katanin p60 ATPase-containing subunit A-like 1 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	GPLD1
Disease	275350	TRANSCOBALAMIN II DEFICIENCY	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	cv:C5543638	Cardiomyopathy, familial restrictive, 6	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF20A
Disease	616258	MECKEL SYNDROME 12	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	617347	HYPERLIPOPROTEINEMIA, TYPE III	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:0070280 (implicated_via_orthology)	primary autosomal recessive microcephaly 5 (implicated_via_orthology)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ASPM
Disease	C0600298	Periodontosis	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	EFO_0801354	ADP-ribosylation factor-like protein 1 measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	EFO_0020970	esterified stigmasterol measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C0342701	Transcobalamin II deficiency	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	OBA_2044040	level of uracil-DNA glycosylase in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C2673196	LIPOPROTEIN GLOMERULOPATHY	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:10124 (biomarker_via_orthology)	corneal disease (biomarker_via_orthology)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CD86
Disease	DOID:0050818 (is_implicated_in)	transcobalamin II deficiency (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	611771	LIPOPROTEIN GLOMERULOPATHY	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2040711	level of arginyl-tRNA--protein transferase 1 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C4551681	Periodontitis, aggressive 1	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	C4693498	LEBER CONGENITAL AMAUROSIS WITH EARLY-ONSET DEAFNESS	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TUBB4B
Disease	OBA_2041842	level of hemoglobin subunit theta-1 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	617914	MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	OBA_2042744	level of PCNA-associated factor in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	EFO_0021456	lysophosphatidylcholine 20:0 measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C2673196	Lipoprotein glomerulopathy	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	EFO_0004533, EFO_0004761	alkaline phosphatase measurement, uric acid measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	GPLD1
Disease	C0030360	Papillon-Lefevre Disease	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	EFO_0802091	steroidogenic acute regulatory protein, mitochondrial measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2043621	level of kinetochore protein Spc25 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2041689	level of glutamate--cysteine ligase regulatory subunit in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C0025427	Mercury Poisoning	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:0070280 (is_implicated_in)	primary autosomal recessive microcephaly 5 (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ASPM
Disease	OBA_2044529	level of centrosomal protein 20 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:5679 (is_implicated_in)	retinal disease (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C4693572	MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	OBA_2043681	level of alpha-N-acetylneuraminide alpha-2,8-sialyltransferase in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C0392475	Roberts-SC phocomelia syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	C0392475	Roberts-SC phocomelia syndrome	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	OBA_2041249	level of DCN1-like protein 5 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C0267537	Typhlitis	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	617879	LEBER CONGENITAL AMAUROSIS WITH EARLY-ONSET DEAFNESS	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TUBB4B
Disease	OBA_2041297	level of dehydrogenase/reductase SDR family member 9 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C0238801	Bone marrow megaloblastic (finding)	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TCN2
Disease	C4025886	Severe periodontitis	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	cv:CN315935	Braddock-Carey syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF15
Disease	608716	MICROCEPHALY 5, PRIMARY, AUTOSOMAL RECESSIVE	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ASPM
Disease	OBA_2043699	level of serine/threonine-protein kinase 10 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C4693572	Microcephaly 20, primary, autosomal recessive	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	C1328355	Laryngoonychocutaneous syndrome	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	DOID:0112199 (is_implicated_in)	spondyloepimetaphyseal dysplasia with joint laxity type 2 (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF22
Disease	OBA_2044376	level of tetratricopeptide repeat protein 33 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	SELENOP
Disease	C1838608	Radial aplasia	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	C4230888	Intrauterine growth restriction (IUGR)	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	cv:C1837501	Microcephaly 5, primary, autosomal recessive	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ASPM
Disease	619433	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 6	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF20A
Disease	cv:C0030360	Papillon-Lef��vre syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	C0751967	Multiple Sclerosis, Relapsing-Remitting	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C1837501	Microcephaly, Primary Autosomal Recessive, 5	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ASPM
Disease	OBA_2044110	level of vacuolar protein sorting-associated protein 29 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	OBA_2040801	level of baculoviral IAP repeat-containing protein 2 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:0112240 (is_implicated_in)	Leber congenital amaurosis with early-onset deafness (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	TUBB4B
Disease	cv:C5676937	Epidermolysis bullosa, junctional 2B, severe	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	cv:C5676936	Epidermolysis bullosa, junctional 2A, intermediate	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	cv:CN305296	Chronic periodontitis	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	C1863051	ALZHEIMER DISEASE 2	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C4693834	Microcephaly 22, primary, autosomal recessive	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	NCAPD3
Disease	OBA_2043068	level of proteasome subunit beta type-10 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	DOID:3389 (is_implicated_in)	Papillon-Lefevre disease (is_implicated_in)	AllianceGenome	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	268300	ROBERTS-SC PHOCOMELIA SYNDROME	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	ESCO2
Disease	245660	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 2C, LARYNGOONYCHOCUTANEOUS	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	cv:C1863732	Spondyloepimetaphyseal dysplasia with multiple dislocations	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF22
Disease	EFO_0600016	plasma beta-amyloid 1-40:1-42 ratio measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C2713394	Haim-Monk Syndrome	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	269600	SEA-BLUE HISTIOCYTE DISEASE	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C5193110	Khan-Khan-Katsanis syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	NCAPG2
Disease	cv:C1328355	Laryngo-onycho-cutaneous syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	LAMA3
Disease	EFO_0801869	PDZK1-interacting protein 1 measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C4015701	Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF14
Disease	612528	DIAMOND-BLACKFAN ANEMIA 5	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	RPL35A
Disease	OBA_2043904	level of tumor protein p53-inducible protein 11 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C5774189	Braddock-carey syndrome 2	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	KIF15
Disease	C1855627	HAIM-MUNK SYNDROME	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	OBA_2042875	level of D-3-phosphoglycerate dehydrogenase in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C0031106	Aggressive Periodontitis	DisGeNET Curated	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	OBA_2041998	level of Indian hedgehog protein in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	245010	HAIM-MUNK SYNDROME	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	OBA_2040666	level of ADP-ribosylation factor-like protein 2 in blood serum	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	245000	PAPILLON-LEFEVRE SYNDROME	OMIM MedGen	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	CTSC
Disease	EFO_0020479	integrin alpha-IIb: beta-3 complex measurement	GWAS	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	cv:C0036489	Sea-blue histiocyte syndrome	Clinical Variations	1.492E-3	1.000E0	1.281E-2	9.870E-2	1	1	APOE
Disease	C0235874	Disease Exacerbation	DisGeNET Curated	1.925E-3	1.000E0	1.641E-2	1.265E-1	3	165	CTSC,APOE,TOP2A
Disease	DOID:3068 (is_marker_for)	glioblastoma (is_marker_for)	AllianceGenome	1.978E-3	1.000E0	1.675E-2	1.291E-1	2	44	RPL35A,ASPM
Disease	C0220636	Malignant neoplasm of salivary gland	DisGeNET Curated	2.068E-3	1.000E0	1.739E-2	1.340E-1	2	45	ASPM,TOP2A
Disease	C0036095	Salivary Gland Neoplasms	DisGeNET Curated	2.254E-3	1.000E0	1.883E-2	1.451E-1	2	47	ASPM,TOP2A
Disease	DOID:9119 (is_marker_for)	acute myeloid leukemia (is_marker_for)	AllianceGenome	2.447E-3	1.000E0	1.934E-2	1.490E-1	2	49	TCN2,CD86
Disease	606889	ALZHEIMER DISEASE 4	OMIM MedGen	2.982E-3	1.000E0	1.934E-2	1.490E-1	1	2	APOE
